horizon,variant,variant_label,n_folds,rmse_fold_mean,mae_fold_mean,r2_oos_fold_mean
5,har,HAR,15,0.01083411684733013,0.007807164273352735,0.29451261800873246
5,har_ovx,HAR + OVX,15,0.010298103264794656,0.007340920253705382,0.3821539425800138
5,har_gpr,HAR + GPR,15,0.0108818902804176,0.00782206030948153,0.2861483482519905
5,har_x,HAR + OVX + GPR (HAR-X),15,0.01034091799379505,0.007391239028488578,0.3729120242261683
22,har,HAR,15,0.008599557625720544,0.006451299364336729,0.2759580637168481
22,har_ovx,HAR + OVX,15,0.00760311196975467,0.005593772592458429,0.44784216489676126
22,har_gpr,HAR + GPR,15,0.00866785340047016,0.006482600357740817,0.26700470588154807
22,har_x,HAR + OVX + GPR (HAR-X),15,0.007669064271488212,0.005643771300388385,0.43600890126964414
66,har,HAR,14,0.008099729024691542,0.0060860551722476865,0.05757310537566544
66,har_ovx,HAR + OVX,14,0.007469120206571977,0.0055220759587771544,0.24254399520838982
66,har_gpr,HAR + GPR,14,0.008198271715361822,0.006165037742712988,0.019356148609379915
66,har_x,HAR + OVX + GPR (HAR-X),14,0.007573301902136178,0.005608923209975858,0.203606937864771
126,har,HAR,14,0.008203489982229587,0.006233177874725995,0.06069048795948929
126,har_ovx,HAR + OVX,14,0.008003085495995191,0.0060705346216128565,0.11639450521504816
126,har_gpr,HAR + GPR,14,0.008262267567276157,0.006299298424265712,0.038072435959008756
126,har_x,HAR + OVX + GPR (HAR-X),14,0.008059072488996311,0.006144245666259987,0.10037893889906131
