horizon,etkin_blok,rmse_farki_pct,k,guc,guc_k_min,guc_k_max
126,28.0,5,1.7,0.1417,0.1098,0.1807
126,28.0,10,1.7,0.4011,0.2841,0.5282
126,28.0,20,1.7,0.8995,0.7485,0.9704
66,53.0,5,1.124,0.1255,0.1214,0.1297
66,53.0,10,1.124,0.3428,0.3276,0.3584
66,53.0,20,1.124,0.8378,0.8175,0.8566
22,166.0,5,0.557,0.1077,0.0996,0.1163
22,166.0,10,0.557,0.2757,0.2446,0.3088
22,166.0,20,0.557,0.7332,0.6698,0.7899
5,732.0,5,0.444,0.216,0.2128,0.2193
5,732.0,10,0.444,0.6265,0.6182,0.6347
5,732.0,20,0.444,0.991,0.9899,0.9919
