horizon,model,n_folds,rmse_fold_mean,mae_fold_mean,r2_oos_fold_mean
5,har,15,0.010834116847330131,0.0078071642733527355,0.2945126180087324
5,har_log,15,0.01085690716789887,0.007829705056071772,0.2906721278354703
5,har_x,15,0.01034091799379505,0.007391239028488578,0.3729120242261682
5,har_x_log,15,0.010334907997353706,0.007349157454122974,0.3823660110800893
5,garch,15,0.011210584904921302,0.008596701692014586,0.2402423445755041
5,train_mean,15,0.013439693871860897,0.010026993195117519,0.0
5,past_vol,15,0.013317793292048267,0.009538438142499514,-0.07545238765860221
22,har,15,0.008599557625720544,0.00645129936433673,0.27595806371684806
22,har_log,15,0.008677917498940136,0.006500558000484867,0.2587144743458826
22,har_x,15,0.007669064271488213,0.005643771300388384,0.43600890126964414
22,har_x_log,15,0.0075614637709356895,0.00556290644188421,0.4426830488637807
22,garch,15,0.008969727699558202,0.0070193952818422495,0.19149148146856987
22,train_mean,15,0.011216482276468681,0.008996937533490682,0.0
22,past_vol,15,0.00949263292038043,0.0072278120488609215,0.07069124303723813
66,har,14,0.008099729024691542,0.006086055172247686,0.05757310537566545
66,har_log,14,0.008199037252201584,0.006202890300956077,-0.030292453363963284
66,har_x,14,0.007573301902136178,0.005608923209975859,0.20360693786477105
66,har_x_log,14,0.007503573335551219,0.005635472586113558,0.19902484340070778
66,garch,14,0.009035738453403972,0.00709824430874473,-0.23454751373803484
66,train_mean,14,0.009240431846318403,0.007416933698261856,0.0
66,past_vol,14,0.008912876674174465,0.007011962716055749,-0.10792016421261083
126,har,14,0.008203489982229587,0.006233177874725995,0.060690487959489295
126,har_log,14,0.008274597009925286,0.006321486511296311,-0.03481694703286805
126,har_x,14,0.008059072488996311,0.006144245666259987,0.10037893889906133
126,har_x_log,14,0.008012348232290727,0.006211439829674171,0.051883531325329406
126,garch,14,0.00943594328233109,0.007588297879148139,-0.5108801124908692
126,train_mean,14,0.009028045719104894,0.007335469993093273,0.0
126,past_vol,14,0.008507621062478569,0.006894556706311888,-0.19782761487572603
