horizon,model,n_folds,rmse_fold_mean,mae_fold_mean,r2_oos_fold_mean
5,xgboost,15,0.010912739598711873,0.00786782223946694,0.2826840522169668
5,har,15,0.01083400789183358,0.007796724919216149,0.2950834667440399
5,har_log,15,0.010852067659298343,0.007818173250253514,0.29168342802141545
5,har_x,15,0.01034718207700183,0.007394847144271302,0.37271544165349807
5,har_x_log,15,0.010341803292469618,0.0073510926199995994,0.3823543122901743
5,garch,15,0.011178932245237068,0.008560943922035913,0.24422151569457715
5,train_mean,15,0.013456156132336495,0.010036091306642533,0.0
5,past_vol,15,0.013317793292048267,0.009538438142499514,-0.0746585827317993
22,xgboost,15,0.009079756323283747,0.006895950068863047,0.18643008542097952
22,har,15,0.008592754897274846,0.006440903515130962,0.27678343790399623
22,har_log,15,0.008667570810256908,0.006488944428742388,0.2600609994516091
22,har_x,15,0.007681681892443467,0.005655494477564985,0.43497455359756626
22,har_x_log,15,0.007566318002974103,0.005566475622982261,0.44206554324290637
22,garch,15,0.008922913828404705,0.0069688605843210944,0.19699415169695603
22,train_mean,15,0.011238108904636392,0.009017223332335834,0.0
22,past_vol,15,0.00949263292038043,0.0072278120488609215,0.07216259912026386
66,xgboost,14,0.008924304940887107,0.007008059450678586,-0.19917084812161087
66,har,14,0.008089740848292068,0.006065296962446187,0.05985044107444382
66,har_log,14,0.00818392256356232,0.006181941751319459,-0.025679302340954415
66,har_x,14,0.007576055845347107,0.0056014990135514866,0.20116870260748593
66,har_x_log,14,0.007491181255712325,0.00561780779228723,0.19927304288431588
66,garch,14,0.008940057199927109,0.007001239983785101,-0.2180891381318349
66,train_mean,14,0.009265168397472023,0.007443717287286455,0.0
66,past_vol,14,0.008912876674174465,0.007011962716055747,-0.1053376922180539
126,xgboost,14,0.008627015238730643,0.0069077594540304646,-0.283380194515064
126,har,14,0.008090329122128372,0.006076093602898625,0.07299854641674493
126,har_log,14,0.008161493490952118,0.006172452779585169,-0.011085672778184357
126,har_x,14,0.007947230283335738,0.005993524682348453,0.08511811602401982
126,har_x_log,14,0.00788797500899804,0.006060070912861044,0.05039925145507929
126,garch,14,0.009292073320024827,0.007436103980259631,-0.4890604362705246
126,train_mean,14,0.008964920973750679,0.007253763105404564,0.0
126,past_vol,14,0.008507621062478569,0.006894556706311887,-0.18983089829087935
