horizon,model,n_folds,rmse_fold_mean,mae_fold_mean,r2_oos_fold_mean
5,bilstm,15,0.014227169934529445,0.01004764708593124,-0.37051164492948807
5,train_mean,15,0.013451013596024032,0.010027448803296831,0.0
5,past_vol,15,0.013317793292048267,0.009538438142499514,-0.0757192280542965
22,bilstm,15,0.010511836061472084,0.008254966060170394,-0.24927314555956867
22,train_mean,15,0.011242666277378771,0.009021531253565458,0.0
22,past_vol,15,0.00949263292038043,0.0072278120488609215,0.07246760055324948
66,bilstm,14,0.011589401828426946,0.009491705482739813,-2.218463134971192
66,train_mean,14,0.009239151285378699,0.007417839379145559,0.0
66,past_vol,14,0.008912876674174465,0.007011962716055749,-0.1073084930645515
126,bilstm,14,0.01143050757995749,0.009178810427279917,-3.094267208227449
126,train_mean,14,0.00891587528151588,0.007192663573607731,0.0
126,past_vol,14,0.008507621062478569,0.006894556706311888,-0.18603235127447287
