horizon,grup,model,n_folds,rmse_fold_mean,mae_fold_mean,r2_oos_fold_mean
5,tumu,xgboost,15,0.010927475990540414,0.007980241078776077,0.2810299943024959
5,tumu,train_mean,15,0.013458356262711616,0.01003850131697371,0.0
5,tumu,past_vol,15,0.013317793292048267,0.009538438142499514,-0.07467923971272192
22,tumu,xgboost,15,0.008788316500780956,0.006594713297155927,0.219306644593611
22,tumu,train_mean,15,0.011267317775464747,0.009044839815105763,0.0
22,tumu,past_vol,15,0.00949263292038043,0.0072278120488609215,0.073759040550394
66,tumu,xgboost,14,0.00979681624954101,0.0078018343675103794,-0.7696530052577888
66,tumu,train_mean,14,0.009292960229523348,0.007461190344192861,0.0
66,tumu,past_vol,14,0.008912876674174465,0.007011962716055749,-0.11829773298973469
66,optuna,xgboost,12,0.010862516113297811,0.008602501598891078,-1.05009882833993
66,optuna,train_mean,12,0.0088532799584276,0.006756234797505654,0.0
66,optuna,past_vol,12,0.00982884886422516,0.007690002016751795,-0.2883906322713778
66,kapasite_kurali,xgboost,2,0.0034026170670001985,0.0029978309792261957,0.9130219332350586
66,kapasite_kurali,train_mean,2,0.011931041856097824,0.0116909236243161,0.0
66,kapasite_kurali,past_vol,2,0.0034170435338702976,0.002943726911879473,0.9022596627001237
126,tumu,xgboost,14,0.009715237844824453,0.00794406874000773,-0.7444222227709186
126,tumu,train_mean,14,0.009041849862876239,0.007323057381321072,0.0
126,tumu,past_vol,14,0.008507621062478569,0.006894556706311888,-0.20700724148335256
126,optuna,xgboost,8,0.011404427800395736,0.009134415599665468,-1.3081865502690533
126,optuna,train_mean,8,0.009042152711572084,0.006346715842899124,0.0
126,optuna,past_vol,8,0.010680544882426361,0.008518417448733629,-0.49444815721385255
126,kapasite_kurali,xgboost,6,0.007462984570729411,0.006356939593797412,0.007263547226593947
126,kapasite_kurali,train_mean,6,0.009041446064615113,0.008624846099217003,0.0
126,kapasite_kurali,past_vol,6,0.005610389302548182,0.004729409049749563,0.17624731282398085
