horizon,fold_mesafesi,cift,rho_ort,ortusme_ort_pct
5,1,14,0.8575406489921014,89.08077767327488
5,2,13,0.8267662536989726,79.9646680644856
5,3,12,0.8202918008956939,72.07586785501066
5,4,11,0.8020049824023977,65.09897951094283
5,5,10,0.7719762512141024,58.82395863639905
5,6,9,0.7507397101050013,53.10417104939992
5,7,8,0.7428094183468874,47.8432937941967
5,8,7,0.7236524908736561,42.965420665817796
5,9,6,0.6913789388171216,38.41357062982058
5,10,5,0.7151637826552377,34.146566313610705
5,11,4,0.7069225525904418,30.12637862123436
5,12,3,0.7258425598593069,26.342406242293965
5,13,2,0.6965746596804214,22.78260983109351
5,14,1,0.7732939959353616,19.391985260248735
22,1,14,0.866331099963444,88.98176234425705
22,2,13,0.855110274764196,79.80666454223405
22,3,12,0.8266364323096913,71.87900329219846
22,4,11,0.8210976343111288,64.87474988747748
22,5,10,0.7900833073994951,58.57942443364561
22,6,9,0.7758347664515828,52.844002143595894
22,7,8,0.7545296020939267,47.570741065536
22,8,7,0.7664263976993163,42.68283574055142
22,9,6,0.7621200591168282,38.12269239854779
22,10,5,0.7426016366015806,33.848709843097524
22,11,4,0.756876741503392,29.822570234653757
22,12,3,0.7721240216155714,26.033546249995954
22,13,2,0.7516968539241,22.46952019575162
22,14,1,0.7853159028281268,19.07514450867052
66,1,13,0.8631061892408874,88.2964202300361
66,2,12,0.8312396375758935,78.6433976697362
66,3,11,0.8071030474260961,70.34776119941928
66,4,10,0.802044869812607,63.05060282932004
66,5,9,0.7659207227652468,56.51509209116861
66,6,8,0.7653963965808668,50.57918566148
66,7,7,0.7457338234375095,45.13198241975396
66,8,6,0.714363985436156,40.09015786224199
66,9,5,0.7167407329617628,35.39570375863548
66,10,4,0.7016357131015607,31.000737943348167
66,11,3,0.6991853071471835,26.886479170455118
66,12,2,0.6625814750816161,23.03498442771091
66,13,1,0.6863176321911962,19.374844951624908
126,1,13,0.8452086351286212,87.8834190315291
126,2,12,0.826580778374709,77.9965503796444
126,3,11,0.8144310526436237,69.55169915469672
126,4,10,0.7749545924781802,62.151776388243476
126,5,9,0.7748402561746204,55.54122746238498
126,6,8,0.771031565143256,49.54830159046782
126,7,7,0.761167797702056,44.05637397963618
126,8,6,0.7397664163495813,38.97860875686604
126,9,5,0.7264670610128139,34.25468668930087
126,10,4,0.711998894215231,29.835044911798576
126,11,3,0.7408846107899203,25.700133510254222
126,12,2,0.6440857102009716,21.83146648913144
126,13,1,0.5290895348624743,18.156635608159153
